1.53E+04,7.26E+03
1.53E+04,7.26E+03
1.55E+04,6.82E+03
1.55E+04,7.34E+03
1.46E+04,6.20E+03
1.43E+04,6.99E+03
1.66E+04,7.92E+03
1.72E+04,1.09E+04
1.64E+04,9.13E+03
1.63E+04,7.09E+03
1.59E+04,7.00E+03
1.70E+04,8.44E+03
1.79E+04,3.07E+04
1.60E+04,1.11E+04
1.57E+04,8.13E+03
1.52E+04,7.64E+03
1.52E+04,8.43E+03
1.60E+04,8.38E+03
1.53E+04,7.37E+03
1.61E+04,7.34E+03
1.63E+04,7.83E+03
1.65E+04,7.59E+03
1.66E+04,7.76E+03
1.62E+04,8.47E+03
1.67E+04,8.13E+03
1.62E+04,7.51E+03
1.62E+04,7.92E+03
1.61E+04,7.56E+03
1.66E+04,1.38E+04
1.45E+04,7.34E+03
1.44E+04,7.02E+03
1.51E+04,6.73E+03
1.47E+04,7.31E+03
1.55E+04,7.46E+03
1.54E+04,7.59E+03
1.70E+04,8.47E+03
1.63E+04,7.81E+03
1.71E+04,8.14E+03
1.79E+04,1.25E+04
1.61E+04,8.11E+03
1.63E+04,7.72E+03
1.67E+04,8.37E+03
1.48E+04,7.10E+03
1.51E+04,7.35E+03
1.52E+04,7.42E+03
1.59E+04,1.07E+04
1.41E+04,6.93E+03
1.51E+04,8.13E+03
1.44E+04,7.12E+03
1.47E+04,7.17E+03
1.54E+04,7.35E+03
1.62E+04,7.72E+03
1.54E+04,7.22E+03
1.63E+04,1.07E+04
1.67E+04,7.77E+03
1.67E+04,7.70E+03
1.67E+04,8.27E+03
1.61E+04,7.47E+03
1.67E+04,8.41E+03
1.64E+04,7.76E+03
1.60E+04,7.94E+03
1.59E+04,7.37E+03
1.59E+04,7.63E+03
1.58E+04,7.68E+03
1.58E+04,7.54E+03
1.60E+04,7.48E+03
1.66E+04,7.81E+03
1.57E+04,7.25E+03
1.58E+04,7.54E+03
1.53E+04,7.76E+03
1.59E+04,7.74E+03
1.56E+04,8.06E+03
